Doc,Topic,Doc_ID
#Salvini: io sono per sospendere gli ACCORDI con i Paesi islamici che non hanno sottoscritto convenzione dei DIRITTI dell'UOMO #NightTabloid pic.twitter.com/FnIRSCv72a,64,28319
#Salvini: Nemico è il TERRORISMO ISLAMICO. Interpretazione letterale del Corano di un certo Islam è un problema. #NightTabloid #londonattack,64,28320
"Ennesimo attentato, ancora sangue in Europa. #Londra - Live > https://www.facebook.com/salviniofficial/videos/10154613518053155/ …",64,28339
"#Salvini: oggi UE ha inviato a processo @MLP_officiel perché ha pubblicato immagini dell'ISIS, relatrice una parlamentare M5S... #ottoemezzo",64,28645
Antiterrorismo indaga su delirante post a firma Hamza Benagdoul. pic.twitter.com/SZHeqsTNYY,64,28955
#Salvini: non firmerei mai accordi con gente che appoggia l'estremismo islamico.  #nighttabloid pic.twitter.com/PXpT3Gq3qJ,64,28984
"Blitz anti-terrorismo islamico. Controlli, controlli, controlli ed espulsioni. Subito, anche in Italia! pic.twitter.com/QXjkTHodVd",64,29008
"Preso il killer islamico che ha fatto 39 morti a Istanbul, è uzbeko. #stopinvasione pic.twitter.com/C6xNpo8BFn",64,29226
"Altri 39 morti innocenti per mano di un infame terrorista. Preghiera per le vittime, buon anno a chi non ha paura. #istanbulattack pic.twitter.com/umhS9JelWc",64,29306
"#Salvini: sono stanco dell'ipocrisia islamica, oggi, per religione, nel mondo si uccide solo nel nome di Allah e Maometto! #dallavostraparte pic.twitter.com/9i6RO3LmnI",64,29341
#Salvini: Islam religione di pace? Mah............ #dallavostraparte pic.twitter.com/Bg9KEQVUAH,64,29342
"#Salvini: prima Islam maturi e condanni la violenza, poi vedremo se cedere un metro quadro per nuove moschee... #dallavostraparte",64,29343
"#Salvini: moschee? Problema non è religione, ma Islam, tramite Dio, vuole imporre un modo di vivere incompatibile con noi. #dallavostraparte",64,29344
"Tranquilli Amici, l'Islam è una religione di pace e amore. #berlinchristmasmarket #Berlino pic.twitter.com/kE10y5KwxR",64,29386
"Siete contrari al burqa? Attenti, la Boldrini potrebbe accusarvi di islamofobia... >  http://m.ilgiornale.it/news/2016/12/17/salvini-duro-con-la-boldrini-burqa-lo-metta-alle-figlie/1343726/ …",64,29399
#Salvini: Per l'estremismo islamico in questo Paese non c'è SPAZIO! #Iovotono,64,30118
"""LI UCCIDIAMO. Se uno rifiuta l'ISLAM, dobbiamo ucciderlo"". Chissà che cosa ne dicono i ""buonisti""??? http://www.ilpopulista.it/video/23-Settembre-2016/5212/video-l-insegnante-musulmana-uccidete-i-miscredenti.html …",64,30772
